year,country,tv_min_15_34,tv_min_15_49,tv_min_50plus,gap_50plus_vs_1534,gap_50plus_vs_1549,idx_1534_b2013,idx_1549_b2013,idx_50plus_b2013,confidence,methodological_break,is_break_year,note_2024,note_methodologie,source
2013,France,155.0,191.0,302.0,147.0,111.0,100.0,100.0,100.0,moyenne — rétro-calcul depuis déclaration Stratégies.fr/Médiamat 2018,,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S2] Stratégies.fr mai 2019 — rétro-calcul depuis Médiamat annuel 2018
2014,France,148.0,183.0,302.0,154.0,119.0,95.5,95.8,100.0,haute — CNC Chiffres clés 2024 Tableau 2 (source primaire),Rattrapage TV sur téléviseur (replay +7j),True,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2015,France,140.0,182.0,307.0,167.0,125.0,90.3,95.3,101.7,"haute — interpolation linéaire 2014→2017 (cohérente avec −6,2%/an DGMIC)",,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1+S3] Interpolation linéaire 2014→2017 — validée par taux DGMIC 2016
2016,France,133.0,181.0,307.0,174.0,126.0,85.8,94.8,101.7,"haute — interpolation linéaire 2014→2017 (cohérente avec −6,2%/an DGMIC)",Différé + rattrapage sans limite de date,True,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1+S3] Interpolation linéaire 2014→2017 — validée par taux DGMIC 2016
2017,France,131.0,174.0,312.0,181.0,138.0,84.5,91.1,103.3,haute — Médiamat annuel 2018 cité par Stratégies.fr (mai 2019),,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S2] Stratégies.fr mai 2019 — Médiamat annuel 2018 (−15 min vs 2017)
2018,France,116.0,162.0,313.0,197.0,151.0,74.8,84.8,103.6,"haute — Médiamat annuel 2018, source primaire Médiamétrie",Autres écrans (ordi/tablette/téléphone) à domicile pour 4 ans+,True,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S2] Médiamat annuel 2018 — source primaire Médiamétrie
2019,France,103.0,150.0,312.0,209.0,162.0,66.5,78.5,103.3,"haute — CNC Chiffres clés 2024 Tableau 2, DEPS/Ministère de la Culture",,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2020,France,115.0,166.0,346.0,231.0,180.0,74.2,86.9,114.6,"haute — CNC Chiffres clés 2024 Tableau 2, DEPS/Ministère de la Culture",Hors domicile en mobilité pour les 15 ans+,True,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2021,France,98.0,145.0,338.0,240.0,193.0,63.2,75.9,111.9,"haute — CNC Chiffres clés 2024 Tableau 2, DEPS/Ministère de la Culture",,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2022,France,83.0,126.0,323.0,240.0,197.0,53.5,66.0,107.0,"haute — CNC Chiffres clés 2024 Tableau 2, DEPS/Ministère de la Culture",,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2023,France,74.0,115.0,316.0,242.0,201.0,47.7,60.2,104.6,"haute — CNC Chiffres clés 2024 Tableau 2, DEPS/Ministère de la Culture",,False,,Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S1] CNC Chiffres clés 2024 — Tableau 2 DEPS / Ministère de la Culture
2024,France,,,,,,,,,N/A — rupture méthodologique Médiamétrie 2024 (voir note_2024),RUPTURE MAJEURE — nouvelle méthodologie complète (voir note_2024),True,"Données 2024 non comparables à la série historique. Médiamétrie a élargi sa mesure au 01/01/2024 : tous foyers (62,6M vs 57,3M), tous lieux, tous écrans, tous modes (live/différé/replay/preview). Info qualitative disponible : durée vidéo tous Français = 4h23/j, foyers équipés TV = 3h12/j, 36% de la conso vidéo à la demande, +18% TV chez 15-24 ans en été (effet JO Paris 2024). Sources : Médiamétrie L'Année TV 2024, 23/01/2025 ; Médiamat Annuel 2024, 30/12/2024.",Série 15-34 ans reconstituée depuis CNC Chiffres clés 2024 (Tableau 2) et Médiamat 2018. Série 15-49 ans : fichier Excel CNC officiel. 2024 : NaN documenté — rupture méthodologique Médiamétrie (voir note_2024).,[S4+S5] Médiamétrie L'Année TV 2024 + Médiamat Annuel 2024 — non comparable
